ID,region,basin,river,name,long,lat
RU_0000043,CA,Selenga,Selenga,Mostovoy,107.4958218,52.02083485
RU_0000401,CA,Selenga,Khilok,Khailastuy,106.9874885,51.20416822
RU_0000400,CA,Selenga,Chikoy,Gremyachka,108.6124885,50.31250159
MN_0000002,CA,Selenga,Yeruu,Yeruu,106.6534506,49.73812384
RU_0000397,CA,Upper Angara,Verkhnyaya Angara,Verkhnyaya Zaimka,110.1541551,55.8458347
RU_0000398,CA,Upper Angara,Barguzin,Barguzin,109.5958217,53.59583479
RU_0000408,CA,Yenisei,Biryusa,Biryusinsk,97.77915556,55.96250136
RU_0000411,CA,Yenisei,Tuba,Bugurtak,92.87082242,53.79583478
RU_0000054,CA,Yenisei,Yenisei,Kyzyl,94.40415569,51.72083486
KZ_0000002,CA,Irtysh,Irtysh,Buran,85.22082272,48.00416835
RU_0000036,EA,Amur,Amur,Khabarovsk,135.0458207,48.445835
JP_0000367,EA,Mogami,Mogami,Inakudashi,140.3459169,38.48133088
JP_0000446,EA,Edogawa,Edogawa,Noda,139.8926601,35.98749111
JP_0000759,EA,Yuragawa,Yuragawa,Fukuchiyama,135.1280145,35.30540682
JP_0001023,EA,Ono,Ono,Shirataki Bridge,131.6474699,33.16416096
JP_0001014,EA,Oyodo,Oyodo,Takaoka,131.3011,31.9547
JP_0000996,EA,Sendaigawa,Sendaigawa,Onofuchi,130.3358,31.8625
KR_0000006,EA,Han,Soyang,Soyanggang,127.81648,37.94583
CN_0000181,CN,Yangtze,Huai He,Bengbu,117.3624881,32.95416895
CN_0000190,CN,Yangtze,Yangtze,Cuntan,106.5958219,29.61250242
CN_0000194,CN,Yangtze,Yangtze,Wulong,107.7624885,29.32083576
CN_0000195,CN,Yangtze,Yangtze,Yichang,111.279155,30.69583571
CN_0000192,CN,Yangtze,Yangtze,Luoshan,113.3458216,29.68750241
CN_0000191,CN,Yangtze,Yangtze,Hankou,114.2958216,30.57916904
CN_0000180,CN,Yangtze,Yangtze,Datong,117.6208214,30.7708357
CN_0000189,CN,Pearl,Dong Jiang,Boluo,114.3041549,23.16250267
KG_0000005,WA,Syr Darya,Naryn,Uch-Kurgan,72.11248992,41.15416862
TJ_0000003,WA,Amu Darya,Vakhsh,Garm,70.32915665,39.00416871
PK_0000001,WA,Indus,Indus,Kachora,75.43696018,35.46234726
TH_0000134,SEA,Mekong,Mekong,Chiang Saen,100.0958221,20.27083612
LA_0000001,SEA,Mekong,Nam Khan,Ban Mixay,102.1791554,19.77916948
LA_0000002,SEA,Mekong,Mekong,Luang Prabang,102.1374887,19.89583614
LA_0000005,SEA,Mekong,Mekong,Vientiane,102.6124887,17.92916955
TH_0000154,SEA,Mekong,Mekong,Nakhon Phanom,104.79495,17.39667
TH_0000156,SEA,Mekong,Mekong,Mukdahan,104.7458219,16.53750294
TH_0000163,SEA,Mekong,Nam Mun,Ubon,104.8624886,15.22083632
LA_0000014,SEA,Mekong,Mekong,Pakse,105.8041552,15.112503
KH_0000004,SEA,Mekong,Mekong,Stung Treng,105.9458219,13.52916973
KH_0000002,SEA,Mekong,Mekong,Kompong Cham,105.4708219,11.99583645
TH_0000003,SEA,Chao Phraya,Nan,N.1,100.7791554,18.77083618
TH_0000041,SEA,Chao Phraya,Ping,P.1,99.00415551,18.78750285
TH_0000178,SEA,Chao Phraya,Chao Phraya,C.2,100.1124888,15.67083631
PH_0000006,SEA,Angat,Angat,Angat,121.1992461,14.99924528
ID_0000024,SEA,Citarum,Citarum,Citarum,107.2942041,-6.730795205
BD_0000001,SA,Brahmaputra,Brahmaputra,Bahadurabad,89.69582255,25.17916926
IN_0000028,SA,Narmada,Narmada,Barmanghat,79.0158,23.0297
IN_0000036,SA,Narmada,Narmada,Mandleshwar,75.6608,22.1683
IN_0000253,SA,Subarnarekha,Subarnarekha,Ghatsila,86.4683,22.5806
IN_0000243,SA,Mahanadi,Mahanadi,Bamnidihi,82.7139,21.8978
IN_0000234,SA,Mahanadi,Mahanadi,Basantpur,82.7881,21.7267
IN_0000169,SA,Vamsadhara,Vamsadhara,Kashinagar,83.8731,18.8483
IN_0000082,SA,Godavari,Godavari,Penganga Bridge,78.5747,19.8158
IN_0000074,SA,Godavari,Godavari,Jagdalpur,82.02082285,19.11250284
IN_0000073,SA,Godavari,Godavari,Chindnar,81.3011,19.0794
IN_0000071,SA,Godavari,Godavari,Pathagudem,80.3494,18.8525
IN_0000067,SA,Godavari,Godavari,Saradaput,82.1428,18.6125
IN_0000061,SA,Godavari,Godavari,Perur,80.3958,18.5872
IN_0000099,SA,Godavari,Godavari,Konta,81.3928,17.7989
IN_0000098,SA,Godavari,Godavari,Polavaram,81.6564,17.2519
IN_0000117,SA,Krishna,Karad,Karad,74.18748983,17.29583624
IN_0000176,SA,Kaveri,Kaveri,Kollegal,77.1,12.1892
IN_0000315,SA,Nethravathi,Nethravathi,Bantwal,75.0431,12.8844
